Sl. No,City,November` 2023 - Good - (0-50),November` 2023 - Satisfactory - (51-100),November` 2023 - Moderate - (101-200),November` 2023 - Poor - (201-300),November` 2023 - Very Poor - (301-400),November` 2023 - Severe - (>401),November` 2023 - Good Days,November` 2023 - Bad Days,November` 2022 - Good - (0-50),November` 2022 - Satisfactory - (51-100),November` 2022 - Moderate - (101-200),November` 2022 - Poor - (201-300),November` 2022 - Very Poor - (301-400),November` 2022 - Severe - (>401),November` 2022 - Good Days,November` 2022 - Bad Days
1,Delhi,0,0,0,4,17,9,0,30,0,0,0,12,15,3,0,30
2,Bhiwani,0,0,4,9,17,0,4,26,0,2,8,14,3,2,10,19
3,CharkhiDadri,0,1,5,12,7,0,6,19,0,1,16,8,2,3,17,13
4,Ballabgarh,0,0,3,13,12,0,3,25,0,0,6,16,8,0,6,24
5,Manesar,0,0,3,9,18,0,3,27,0,0,10,16,2,1,10,19
6,Faridabad,0,0,2,2,17,9,2,28,0,0,1,15,12,2,1,29
7,Gurugram,0,0,3,8,16,3,3,27,0,0,1,18,9,2,1,29
8,Bahadurgarh,0,0,3,5,18,2,3,25,0,0,5,19,3,2,5,24
9,Jind,0,1,2,7,12,6,3,25,0,0,1,20,7,2,1,29
10,Karnal,0,1,10,11,6,0,11,17,0,3,14,9,2,0,17,11
11,Narnaul,0,0,5,12,10,2,5,24,0,2,19,8,1,0,21,9
12,Mandikhera,0,2,19,4,1,0,21,5,1,12,15,1,1,0,28,2
13,Palwal,0,3,17,7,1,0,20,8,2,19,7,0,0,0,28,0
14,Panipat,0,0,12,9,7,0,12,16,2,19,7,0,0,0,28,0
15,Dharuhera,0,0,6,6,18,0,6,24,0,0,1,12,9,1,1,22
16,Rohtak,0,1,2,5,20,2,3,27,1,1,9,15,1,2,11,18
17,Sonipat,0,1,5,6,12,4,6,22,0,0,7,12,8,0,7,20
18,Alwar,0,3,13,13,0,0,16,13,0,18,9,3,0,0,27,3
19,Bharatpur,0,0,2,15,12,0,2,27,NA,NA,NA,NA,NA,NA,NA,NA
20,Bhiwadi,0,0,1,8,16,5,1,29,0,0,10,13,5,2,10,20
21,Baghpat,0,0,2,10,17,0,2,27,0,0,4,15,7,0,4,22
22,Khurja,0,9,14,5,1,0,23,6,0,3,17,9,1,0,20,10
23,Bulandshahr,0,1,6,18,4,0,7,22,0,0,8,21,1,0,8,22
24,Noida,0,0,2,5,19,4,2,28,0,0,6,13,9,2,6,24
25,Greater Noida,0,0,2,5,15,8,2,28,0,0,3,13,9,5,3,27
26,Ghaziabad,0,0,2,8,18,2,2,28,0,0,5,13,10,2,5,25
27,Hapur,0,0,4,14,11,0,4,25,0,0,18,8,1,0,18,9
28,Meerut,0,0,2,5,22,1,2,28,0,0,3,24,3,0,3,27
29,Muzaffarnagar,0,0,7,21,2,0,7,23,0,0,6,14,6,0,6,20
